,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
2017,AGTOB,,Agave toumeyana Trel. ex Standl. var. bella Breitung,Toumey's century plant,Agavaceae
32970,ERLAL3,,Eriophyllum lanatum (Pursh) Forbes var. lanatum,common woolly sunflower,Asteraceae
50388,LOHIV,,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray var. vacillans A. Gray,pink honeysuckle,Caprifoliaceae
69878,POTRS,,Poa trivialis L. ssp. sylvicola (Guss.) H. Lindb.,,Poaceae
64060,PHAMA2,,Phlox amoena Sims ssp. amoena,hairy phlox,Polemoniaceae
66634,PIUN,,Pithecellobium unguis-cati (L.) Benth.,catclaw blackbead,Fabaceae
26528,DECU2,MECU2,Meibomia cubensis (Griseb.) Schindl.,,
41667,HIAR2,,Hieracium argutum Nutt.,southern hawkweed,Asteraceae
47404,LEFL9,,Lecidea flavidolivens (Tuck.) Fink,lecidea lichen,Lecideaceae
20185,CLCI2,,Clematis cirrhosa L.,,Ranunculaceae
58288,NONE4,NOSCN,Notholaena schaffneri (Fourn.) Underw. ex Davenport var. nealleyi (Seaton ex J.M. Coult.) Weath.,,
40518,HEDID,,Hedyotis divaricata (Valeton) Hosok. var. divaricata,branched starviolet,Rubiaceae
65062,PHLOM,,Phlomis L.,Jerusalem sage,Lamiaceae
45495,JUPHP2,,Juncus phaeocephalus Engelm. var. phaeocephalus,brownhead rush,Juncaceae
32120,ERBR7,,Eriogonum brachyanthum Coville,shortflower buckwheat,Polygonaceae
20772,CLPR,,Clarkia prostrata F.H. Lewis & M.E. Lewis,prostrate clarkia,Onagraceae
74227,RICU,GRCU2,Grossularia curvata (Small) Coville & Britton,,
85435,SYSUG,ASSUG,Aster subspicatus Nees var. grayi (Suksd.) Cronquist,,
8622,ASSU6,ASSIC,Astragalus silerianus M.E. Jones var. cariacus M.E. Jones,,
85642,TAHE,TAHEP,Tabebuia heterophylla (DC.) Britton ssp. pallida auct. non (Miers) Stehlé,,
35734,FAES2,POFA4,Polygonum fagopyrum L.,,
15773,CAPUP7,,Calamagrostis purpurascens R. Br. var. purpurascens,purple reedgrass,Poaceae
59847,ORAN70,ORANS,Orthotrichum anomalum Hedw. var. saxatile Milde,,
12529,BUTR2,,Buellia triphragmioides Anzi,disc lichen,Physciaceae
73499,RHCO11,,Rhizocarpon copelandii (Körb.) Th. Fr.,Copeland's map lichen,Rhizocarpaceae
9388,BAALA,BALAO,Baptisia lactea (Raf.) Thieret var. obovata (Larisey) Isely,,
4615,ANSE60,ANKA2,Anaptychia kaspica Gyel.,,
29696,DUPA2,,Dudleya palmeri (S. Watson) Britton & Rose,Palmer's liveforever,Crassulaceae
50903,LOUNH,LOPUH,Lotus purshianus Clem. & E.G. Clem. var. helleri (Britton) Isely,,
61138,PAFAF2,PADE2,Panicum degeneri Potztal,,
58129,NIRU,,Nicotiana rustica L.,Aztec tobacco,Solanaceae
37439,GAHE3,GADIV,Gayophytum diffusum Torr. & A. Gray var. villosum Munz,,
51909,LUPOS,LULA12,Lupinus lacus-huntingtonii C.P. Sm.,,
35660,EVTE2,,Evolvulus tenuis Mart. ex Choisy [excluded],,Convolvulaceae
26258,DASP2,DASPP,Danthonia spicata (L.) P. Beauv. ex Roem. & Schult. var. pinetorum Piper,,
79915,SEGI2,SEGI3,Sequoia gigantea (Lindl.) Decne.,,
84697,SYCAC,,Symphyotrichum campestre (Nutt.) G.L. Nesom var. campestre,western meadow aster,Asteraceae
14175,CAHA2,,Carex halliana L.H. Bailey,Hall's sedge,Cyperaceae
13567,CACR13,,Castilleja crista-galli Rydb.,mountainside Indian paintbrush,Scrophulariaceae
25331,CYNAN2,,Cyperus nanus Willd. var. nanus,Indian flatsedge,Cyperaceae
55552,MIGL5,POGRG4,Porsildia groenlandica (Retz.) Á. Löve & D. Löve ssp. glabra (Michx.) Á. Löve & D. Löve,,
10564,BLAR,,Blepharostoma arachnoideum M. Howe,,Pseudolepicoleaceae
39898,HAPA,,Hackelia patens (Nutt.) I.M. Johnst.,spotted stickseed,Boraginaceae
91379,VILA3,,Viguiera laciniata A. Gray,torhleaf goldeneye,Asteraceae
76355,SAAR9,,Sanicula arctopoides Hook. & Arn.,footsteps of spring,Apiaceae
62273,PEATP5,,Penstemon attenuatus Douglas ex Lindl. var. pseudoprocerus (Rydb.) Cronquist,small penstemon,Scrophulariaceae
83550,STCO7,STSY3,Stellaria sylvatica (Beguinot) Maguire,,
13057,CABOM,,Cabomba Aubl.,fanwort,Cabombaceae
62695,PEFL18,,Pennisetum flaccidum Griseb.,flaccidgrass,Poaceae
83354,STAMP,STAMP3,Streptopus amplexifolius (L.) DC. ssp. papillatus (Ohwi) Á. Löve & D. Löve,,
67746,POALA2,POALM,Pogonatum alpinum (Hedw.) Röhl. var. macounii (Kindb.) Cardot & Thér.,,
13959,CAFLF,,Calycanthus floridus L. var. floridus,eastern sweetshrub,Calycanthaceae
25705,CYSI,GRSI,Grammadenia sintenisii (Urb.) Mez,,
79821,SEDI12,,Seligeria diversifolia Lindb.,diverseleaf small limestone moss,Seligeriaceae
86051,TEHA,TEFAH,Tetracoccus fasciculatus (S. Watson) Croizat var. hallii (Brandegee) Dressler,,
34013,ERUMM,ERSU11,Eriogonum subalpinum Greene,,
5606,AREL8,,Aralia elata (Miq.) Seem.,Japanese angelica tree,Araliaceae
18477,CHGO2,,Chrysopsis godfreyi Semple,Godfrey's goldenaster,Asteraceae
2045,AGVIV3,AGCAM4,Agrostis canina L. var. montana Hartm.,,
61483,PAMO17,,Panicum mohavense J. Reeder,Mojave panicgrass,Poaceae
21646,COGL7,,Coursetia glabella (A. Gray) Lavin,smooth babybonnets,Fabaceae
58577,OCGO2,,Ochrolechia gowardii Brodo,,Pertusariaceae
10860,BOHIH,CHHI9,Chondrosum hirsutum (Lag.) Kunth,,
53330,MALO5,,Madhuca longifolia (J. Konig) J.F. Macbr.,mahua,Sapotaceae
42321,HOPEM2,,Honckenya peploides (L.) Ehrh. ssp. major (Hook.) Hultén,seaside sandplant,Caryophyllaceae
66758,PLBA2,,Plectranthus barbatus Andrews,forskohlii,Lamiaceae
72174,PYXIN,,Pyxine Fr.,pyxine lichen,Physciaceae
42692,HYAM,,Hydrocotyle americana L.,American marshpennywort,Apiaceae
64673,PHGLG,,Phyllostegia glabra (Gaudich.) Benth. var. glabra,ulihi phyllostegia,Lamiaceae
62058,PATI5,,Parkia timoriana (DC.) Merr.,,Fabaceae
92389,XAMO,,Xanthoparmelia moctezumensis T. Nash,Montezuma xanthoparmelia lichen,Parmeliaceae
88072,TRCA11,,Trillium catesbaei Elliott,bashful wakerobin,Liliaceae
58005,NEST,,Nemesia strumosa Bentham,capejewels,Scrophulariaceae
21893,COMAC,,Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard,saltmarsh bird's-beak,Scrophulariaceae
33993,ERUMD,,Eriogonum umbellatum Torr. var. deserticum Reveal,sulphur-flower buckwheat,Polygonaceae
71237,PSST8,,Pseudabutilon stuckertii R.E. Fries,velvetleaf Indian mallow,Malvaceae
61640,PAPAV,,Papaver L.,poppy,Papaveraceae
60149,ORST,PSST2,Psoralea stipulata Torr. & A. Gray,,
18812,CHNIN2,CAASM,Cassia aspera Muhl. ex Elliott var. mohrii Pollard,,
63378,PEPA53,PEPO10,Peltula polyspora (Tuck.) Wetmore,,
52096,LUVAV,LUPE10,"Lupinus persistens A. Heller, non Rose",,
40055,HEAB2,,Hesperocyparis abramsiana (C.B. Wolf) Bartel,Santa Cruz cypress,Cupressaceae
63757,PESU16,,Pertusaria subdactylina Nyl.,pore lichen,Pertusariaceae
68632,POGR19,,Potamogeton groenlandicus Hagstr.,Greenland pondweed,Potamogetonaceae
53568,MAPIP4,SITU3,Sideranthus turbinellus Rydb.,,
67850,POAR8,,Potentilla argentea L.,silver cinquefoil,Rosaceae
75239,RUAR2,RUFL5,Rubus floridensis L.H. Bailey,,
1215,ADHY,AMHY3,Amphoradenium hymenophylloides (Kaulf.) Copeland,,
19304,CHTRH3,,Cheirodendron trigynum (Gaudich.) A. Heller ssp. helleri (Sherff) Lowry,olapalapa,Araliaceae
