,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
82712,SPEM,SPEMV,Sphaeralcea emoryi Torr. ex A. Gray ssp. variabilis (Cockerell) Kearney,,
68065,POCA19,POCAE2,Populus canadensis Moench var. eugenei (Simon-Louis) Schelle,,
61785,PARAR,PARAO,Papaver radicatum Rottb. ssp. occidentale Lundstr.,,
59579,OPHIU,,Ophiuros C.F. Gaertn.,,Poaceae
26941,DEPAN,,Descurainia paradisa (A. Nelson & Kennedy) O.E. Schulz ssp. nevadensis Rollins,paradise tansymustard,Brassicaceae
22751,CRAR8,,Crataegus arrogans Beadle,dixie hawthorn,Rosaceae
26082,DAIN3,BUIN4,Buelliella inquilina (Tuck.) Fink,,
36053,FESO,,Festuca sororia Piper,ravine fescue,Poaceae
17770,CHABM,CAABM,Cassia absus L. var. meonandra Irwin & Barneby,,
32106,ERBO9,CHNAB6,Chrysothamnus nauseosus (Pall. ex Pursh) Britton ssp. bolanderi (A. Gray) H.M. Hall & Clem.,,
12226,BRVEV3,CHCOS2,Chamberlainia collina (Schleich. ex Müll. Hal.) H. Rob. var. suberythrorrhiza (Renauld & Cardot) H. Rob.,,
25153,CYLA8,,Cyrtandra laxiflora H. Mann,Oahu cyrtandra,Gesneriaceae
64502,PHDIL5,PHDIL3,Phlox diffusa Benth. var. longistylis (Wherry) M. Peck,,
12245,BRWR70,,Bryum wrightii Sull. & Lesq.,Wright's bryum moss,Bryaceae
92880,ZAPO2,ANPO6,Anneslea portoricensis (Jacq.) Britton,,
15409,CAPA23,PACA27,Papaya carica Gaertn.,,
31696,EPOC,,Ephebe ocellata Henssen,thread lichen,Lichinaceae
20620,CLMI60,CLARM,Cladonia arbuscula (Wallr.) Flotow ssp. mitis (Sandst.) Ruoss,,
83542,STCO2,STVIC,Stanleya viridiflora Nutt. var. confertiflora B.L. Rob.,,
67576,PLST4,PLSA6,Platanthera saccata (Greene) Hultén,,
49510,LINDB,,Lindbergia Kindb.,lindbergia moss,Leskeaceae
84511,STVI13,POVI20,Porina viridiseda (Nyl.) Zahlbr.,,
8330,ASPL2,ASPA31,Astragalus pachycarpus Torr. & A. Gray,,
83577,STDA60,,Stereocaulon dactylophyllum Flörke,snow lichen,Stereocaulaceae
26070,DAHO2,,Dalbergia hosokawae Costion,bangikoi,Fabaceae
14162,CAGY4,,Carex gynandra Schwein.,nodding sedge,Cyperaceae
65824,PHVL,,Phascum vlassovii Laz.,Vlassov's phascum moss,Pottiaceae
20873,CLSP,,Clarkia speciosa F.H. Lewis & M.E. Lewis,redspot clarkia,Onagraceae
3413,AMPHI5,,Amphianthus Torr.,amphianthus,Scrophulariaceae
27379,DIBI,PABI8,Paspalum bicorne Lam.,,
69405,POPRA6,POAL,Poa alpigena Lindm.,,
52458,LYRA,,Lycoris radiata (L'Hér.) Herb.,red spider lily,Liliaceae
46201,LAETI,,Laetia Loefl. ex L.,laetia,Flacourtiaceae
39694,HAAM4,HADU,Habenaria dussii Cogn.,,
17514,CEPAR,,Ceanothus papillosus Torr. & A. Gray var. roweanus McMinn,wartleaf ceanothus,Rhamnaceae
41757,HIFLG3,HIFLG4,Hieracium flagellare Willd. ssp. glatzense Naegeli & Peter,,
62754,PEFRV,PEPAF,Petasites palmatus (Aiton) A. Gray var. frigidus Macoun,,
40957,HEMU4,,Hedysarum multijugum Maxim.,,Fabaceae
2599,ALMA7,BEMA,Betula-Alnus maritima Marshall,,
66551,PISA6,PISAM,Pisum sativum L. var. macrocarpon Ser.,,
55043,METAN,,Metaneckera Steere,metaneckera moss,Neckeraceae
21428,CODED,CODEI,Collomia debilis (S. Watson) Greene var. ipomoea Payson,,
76808,SAEI,,Salvia eigii Zohary,,Lamiaceae
41035,HEOB2,ANHE9,Anaptychia heterochroa Vain.,,
62109,PAVE6,,Pandanus veitchii hort. Veitch ex Masters & T. Moore,Veitch's screwpine,Pandanaceae
92789,YUSC,YUBAB2,Yucca baccata Torr. var. brevifolia (Schott ex Torr.) L.D. Benson & Darrow,,
47408,LEFLF5,,Leptosiphon floribundum (A. Gray) J.M. Porter & L.A. Johnson ssp. floribundum,manyflower linanthus,Polemoniaceae
36165,FICU2,,Fitzroya cupressoides (Molina) I.M. Johnst.,Patagonian cypress,Cupressaceae
75735,RUMA4,RUMAA,Rumex maritimus L. var. athrix H. St. John,,
62630,PEEE,PETR4,Peperomia treleasei Yunck.,,
38765,GLSE3,,Glyceria septentrionalis Hitchc.,floating mannagrass,Poaceae
3714,ANAR3,ANLY2,Angelica lyallii S. Watson,,
66206,PIGR8,,Pinus greggii Engelm. ex Parl.,,Pinaceae
23481,CRMI,,Cryptantha micrantha (Torr.) I.M. Johnst.,redroot cryptantha,Boraginaceae
17408,CEMUA,CECR3,Ceratophyllum cristatum Spruce ex K. Schum.,,
26545,DEDE,,Delphinium decorum Fisch. & C.A. Mey.,coastal larkspur,Ranunculaceae
5325,ARCE60,PACE5,Parmelia centrifuga (L.) Ach.,,
89825,URPL2,PAPL6,"Paspalum platyphyllum Griseb., non Schult.",,
51414,LUDED,LUMIS,Lupinus microcarpus Sims ssp. scopulorum (C.P. Sm.) C.P. Sm.,,
69821,POTAM,,Potamogeton L.,pondweed,Potamogetonaceae
25134,CYLA,AMLA11,Ampelamus laevis (Michx.) Krings,,
23478,CRME5,,Cryptantha mensana (M.E. Jones) Payson,southwestern cryptantha,Boraginaceae
92182,WILKE,,Wilkesia A. Gray,iliau,Asteraceae
70099,PRCE2,,Prunus cerasifera Ehrh.,cherry plum,Rosaceae
8143,ASMO8,ASSH7,Astragalus shultziorum Barneby,,
49855,LITE4,LIBR8,Lithophragma brevilobum Rydb.,,
56690,MORE,,Monotropsis reynoldsiae (A. Gray) A. Heller,Florida pygmypipes,Monotropaceae
63507,PEPRP,PECOP6,Penstemon confertus Douglas ex Lindl. ssp. procerus (Douglas ex Graham) D.V. Clark,,
20870,CLSO4,CLCL3,Cladonia clavulifera Vain.,,
63918,PEVI9,,Perityle villosa (S.F. Blake) Shinners,Hanaupah rockdaisy,Asteraceae
87612,TOIN5,,Tortula inermis (Brid.) Mont.,tortula moss,Pottiaceae
54915,MESA13,,Mesoptychia sahlbergii (Lindb. & Arnell) A. Evans,,Mesoptychiaceae
79251,SCPIG,SCWI,Schkuhria wislizeni A. Gray,,
6916,ARTHR3,,Arthrostemma Pav. ex D. Don,arthrostemma,Melastomataceae
16464,CASU6,CAST25,Carex stenoptera Mack.,,
32719,ERGRG4,,Eriogonum gracile Benth. var. gracile,slender woolly buckwheat,Polygonaceae
68007,POBOB2,POBOR,Polemonium boreale M.F. Adams ssp. richardsonii (Graham) J.P. Anderson,,
31912,ERAL11,,Eriogonum aliquantum Reveal,Cimarron buckwheat,Polygonaceae
86331,TETRA10,,Tetraplodon Bruch & Schimp.,nitrogen moss,Splachnaceae
29426,DRSI,,Draba sierrae Sharsm.,Sierra draba,Brassicaceae
89004,TRPAS,TRSA6,Trifolium salictorum Greene ex Rydb.,,
37427,GAGR4,,Galphimia gracilis Bartlett,slender goldshower,Malpighiaceae
9577,BAHA,,Baccharis halimifolia L.,eastern baccharis,Asteraceae
33166,ERMO2,ERPL6,Erigeron plateauensis Cronquist,,
73155,RASU2,RASUI,Ranunculus sulphureus Sol. ex C.J. Phipps var. intercedens Hultén,,
82011,SOLA4,,Solidago latissimifolia Mill.,Elliott's goldenrod,Asteraceae
20289,CLDI,CLDI2,Cleistesiopsis divaricata (L.) Pansarin & F. Barros,,
62099,PAUR2,PALA26,Paspalum larranagai Arechav.,,
60264,OSLO,WALO2,Washingtonia longistylis (Torr.) Britton,,
39986,HAST10,,Harmonia stebbinsii (T.W. Nelson & J.P. Nelson) B.G. Baldw.,Stebbins' tarweed,Asteraceae
75247,RUAR5,RUSA5,Rubus saepescandens L.H. Bailey,,
85948,TECAO,,Teucrium canadense L. var. occidentale (A. Gray) E.M. McClint. & Epling,western germander,Lamiaceae
14570,CALAL4,,Carex laxiculmis Schwein. var. laxiculmis,spreading sedge,Cyperaceae
30860,ELOLO,,Eleocharis olivacea Torr. var. olivacea,bright green spikerush,Cyperaceae
73828,RHNU2,RHSE6,Rhexia serrulata Nutt.,,
79959,SEHIH,DIHI5,Ditremexa hirsuta (L.) Britton & Rose ex Britton & P. Wilson,,
91691,VIRE7,VIAS,"Viburnum ashii Bush, orth. var.",,
5631,AREX2,,Arthonia excedens Nyl.,dot lichen,Arthoniaceae
67023,PLFL6,,Plagiochila floridana A. Evans,,Plagiochilaceae
20955,CLTET2,CLTER,Clematis terniflora DC. var. robusta (Carrière) Tamura,,
77928,SAPUM,,Sarracenia purpurea L. ssp. purpurea var. montana D.E. Schnell & Determann,mountain purple pitcherplant,Sarraceniaceae
69573,PORTE,,Porterella Torr.,porterella,Campanulaceae
79782,SECO4,CHHI10,Chaetochloa hispida Scribn. & Merr.,,
56432,MOCO7,LECO9,Lembertia congdonii (A. Gray) Greene,,
34523,EUCO10,EUCOA,Euphorbia corollata L. var. angustifolia Elliott,,
24106,CRUN,CRCH2,Crataegus choriophylla Sarg.,,
70788,PSFA,,Psychotria fauriei (Levl.) Fosberg,Koolau Range wild coffee,Rubiaceae
